ihh,title,author,genre,quantity,shelf,ISBN,category
B04817,The Hobbit — Library04817,J.R.R. Tolkien,Fantasy,3,B17,LIB0000004817,Leisure
B04818,Atomic Habits — Library04818,James Clear,Self-Help,4,B18,LIB0000004818,Leisure
B04819,The Hobbit — Library04819,J.R.R. Tolkien,Fantasy,3,B19,LIB0000004819,Leisure
B04820,The Da Vinci Code — Library04820,Dan Brown,Mystery,3,B20,LIB0000004820,Leisure
B04821,A Thousand Splendid Suns — Library04821,Khaled Hosseini,Historical Fiction,5,B21,LIB0000004821,Leisure
B04822,Sapiens — Library04822,Yuval Noah Harari,History,0,B22,LIB0000004822,Leisure
B04823,The Kite Runner — Library04823,Khaled Hosseini,Historical Fiction,3,B23,LIB0000004823,Leisure
B04824,Pride and Prejudice — Library04824,Jane Austen,Romance,0,B24,LIB0000004824,Leisure
B04825,Angels & Demons — Library04825,Dan Brown,Thriller,0,B25,LIB0000004825,Leisure
B04826,The Midnight Library — Library04826,Matt Haig,Fiction,5,B26,LIB0000004826,Leisure
B04827,The Fault in Our Stars — Library04827,John Green,Romance,1,B27,LIB0000004827,Leisure
B04828,The Alchemist — Library04828,Paulo Coelho,Fiction,2,B28,LIB0000004828,Leisure
B04829,Animal Farm — Library04829,George Orwell,Satire,1,B29,LIB0000004829,Leisure
B04830,The Silent Patient — Library04830,Alex Michaelides,Thriller,0,B30,LIB0000004830,Leisure
B04831,Harry Potter and the Philosopher's Stone — Library04831,J.K. Rowling,Fantasy,3,B31,LIB0000004831,Leisure
B04832,It Ends with Us — Library04832,Colleen Hoover,Romance,2,B32,LIB0000004832,Leisure
B04833,The Book Thief — Library04833,Markus Zusak,Historical Fiction,5,B33,LIB0000004833,Leisure
B04834,The Kite Runner — Library04834,Khaled Hosseini,Historical Fiction,4,B34,LIB0000004834,Leisure
B04835,Atomic Habits — Library04835,James Clear,Self-Help,4,B35,LIB0000004835,Leisure
B04836,Harry Potter and the Philosopher's Stone — Library04836,J.K. Rowling,Fantasy,3,B36,LIB0000004836,Leisure
B04837,The Kite Runner — Library04837,Khaled Hosseini,Historical Fiction,1,B37,LIB0000004837,Leisure
B04838,Educated — Library04838,Tara Westover,Memoir,5,B38,LIB0000004838,Leisure
B04839,The Catcher in the Rye — Library04839,J.D. Salinger,Coming-of-Age,1,B39,LIB0000004839,Leisure
B04840,Rich Dad Poor Dad — Library04840,Robert Kiyosaki,Finance,2,B40,LIB0000004840,Academic
B04841,The Silent Patient — Library04841,Alex Michaelides,Thriller,3,B41,LIB0000004841,Leisure
B04842,The Midnight Library — Library04842,Matt Haig,Fiction,5,B42,LIB0000004842,Leisure
B04843,Harry Potter and the Philosopher's Stone — Library04843,J.K. Rowling,Fantasy,5,B43,LIB0000004843,Leisure
B04844,Percy Jackson: The Lightning Thief — Library04844,Rick Riordan,Fantasy,3,B44,LIB0000004844,Leisure
B04845,The Diary of a Young Girl — Library04845,Anne Frank,Biography,5,B45,LIB0000004845,Leisure
B04846,To Kill a Mockingbird — Library04846,Harper Lee,Fiction,4,B46,LIB0000004846,Leisure
B04847,The Hobbit — Library04847,J.R.R. Tolkien,Fantasy,2,B47,LIB0000004847,Leisure
B04848,The Fault in Our Stars — Library04848,John Green,Romance,2,B48,LIB0000004848,Leisure
B04849,The Midnight Library — Library04849,Matt Haig,Fiction,4,B49,LIB0000004849,Leisure
B04850,Angels & Demons — Library04850,Dan Brown,Thriller,4,B50,LIB0000004850,Leisure
B04851,Rich Dad Poor Dad — Library04851,Robert Kiyosaki,Finance,1,B1,LIB0000004851,Academic
B04852,Rich Dad Poor Dad — Library04852,Robert Kiyosaki,Finance,5,B2,LIB0000004852,Academic
B04853,Percy Jackson: The Lightning Thief — Library04853,Rick Riordan,Fantasy,4,B3,LIB0000004853,Leisure
B04854,The Diary of a Young Girl — Library04854,Anne Frank,Biography,2,B4,LIB0000004854,Leisure
B04855,Atomic Habits — Library04855,James Clear,Self-Help,0,B5,LIB0000004855,Leisure
B04856,The Da Vinci Code — Library04856,Dan Brown,Mystery,5,B6,LIB0000004856,Leisure
B04857,The Great Gatsby — Library04857,F. Scott Fitzgerald,Classic,0,B7,LIB0000004857,Leisure
B04858,"The Lion, the Witch and the Wardrobe — Library04858",C.S. Lewis,Fantasy,3,B8,LIB0000004858,Leisure
B04859,The Great Gatsby — Library04859,F. Scott Fitzgerald,Classic,3,B9,LIB0000004859,Leisure
B04860,Murder on the Orient Express — Library04860,Agatha Christie,Mystery,0,B10,LIB0000004860,Leisure
B04861,The Great Gatsby — Library04861,F. Scott Fitzgerald,Classic,2,B11,LIB0000004861,Leisure
B04862,The Book Thief — Library04862,Markus Zusak,Historical Fiction,5,B12,LIB0000004862,Leisure
B04863,Angels & Demons — Library04863,Dan Brown,Thriller,5,B13,LIB0000004863,Leisure
B04864,Percy Jackson: The Lightning Thief — Library04864,Rick Riordan,Fantasy,4,B14,LIB0000004864,Leisure
B04865,The Midnight Library — Library04865,Matt Haig,Fiction,1,B15,LIB0000004865,Leisure
B04866,The Alchemist — Library04866,Paulo Coelho,Fiction,2,B16,LIB0000004866,Leisure
B04867,Pride and Prejudice — Library04867,Jane Austen,Romance,4,B17,LIB0000004867,Leisure
B04868,"The Lion, the Witch and the Wardrobe — Library04868",C.S. Lewis,Fantasy,5,B18,LIB0000004868,Leisure
B04869,A Thousand Splendid Suns — Library04869,Khaled Hosseini,Historical Fiction,5,B19,LIB0000004869,Leisure
B04870,The Psychology of Money — Library04870,Morgan Housel,Finance,4,B20,LIB0000004870,Academic
B04871,Educated — Library04871,Tara Westover,Memoir,5,B21,LIB0000004871,Leisure
B04872,The Hunger Games — Library04872,Suzanne Collins,Dystopian,5,B22,LIB0000004872,Leisure
B04873,The Psychology of Money — Library04873,Morgan Housel,Finance,1,B23,LIB0000004873,Academic
B04874,To Kill a Mockingbird — Library04874,Harper Lee,Fiction,2,B24,LIB0000004874,Leisure
B04875,The Diary of a Young Girl — Library04875,Anne Frank,Biography,2,B25,LIB0000004875,Leisure
B04876,The Da Vinci Code — Library04876,Dan Brown,Mystery,5,B26,LIB0000004876,Leisure
B04877,The Fault in Our Stars — Library04877,John Green,Romance,2,B27,LIB0000004877,Leisure
B04878,The Hobbit — Library04878,J.R.R. Tolkien,Fantasy,0,B28,LIB0000004878,Leisure
B04879,The Great Gatsby — Library04879,F. Scott Fitzgerald,Classic,2,B29,LIB0000004879,Leisure
B04880,The Kite Runner — Library04880,Khaled Hosseini,Historical Fiction,3,B30,LIB0000004880,Leisure
B04881,The Da Vinci Code — Library04881,Dan Brown,Mystery,4,B31,LIB0000004881,Leisure
B04882,Sapiens — Library04882,Yuval Noah Harari,History,0,B32,LIB0000004882,Leisure
B04883,A Thousand Splendid Suns — Library04883,Khaled Hosseini,Historical Fiction,5,B33,LIB0000004883,Leisure
B04884,Angels & Demons — Library04884,Dan Brown,Thriller,5,B34,LIB0000004884,Leisure
B04885,Sapiens — Library04885,Yuval Noah Harari,History,4,B35,LIB0000004885,Leisure
B04886,The Diary of a Young Girl — Library04886,Anne Frank,Biography,2,B36,LIB0000004886,Leisure
B04887,The Kite Runner — Library04887,Khaled Hosseini,Historical Fiction,4,B37,LIB0000004887,Leisure
B04888,The Great Gatsby — Library04888,F. Scott Fitzgerald,Classic,5,B38,LIB0000004888,Leisure
B04889,The Midnight Library — Library04889,Matt Haig,Fiction,0,B39,LIB0000004889,Leisure
B04890,The Hunger Games — Library04890,Suzanne Collins,Dystopian,3,B40,LIB0000004890,Leisure
B04891,Percy Jackson: The Lightning Thief — Library04891,Rick Riordan,Fantasy,0,B41,LIB0000004891,Leisure
B04892,The Catcher in the Rye — Library04892,J.D. Salinger,Coming-of-Age,1,B42,LIB0000004892,Leisure
B04893,Animal Farm — Library04893,George Orwell,Satire,0,B43,LIB0000004893,Leisure
B04894,"The Lion, the Witch and the Wardrobe — Library04894",C.S. Lewis,Fantasy,1,B44,LIB0000004894,Leisure
B04895,1984 — Library04895,George Orwell,Dystopian,0,B45,LIB0000004895,Leisure
B04896,The Midnight Library — Library04896,Matt Haig,Fiction,1,B46,LIB0000004896,Leisure
B04897,A Thousand Splendid Suns — Library04897,Khaled Hosseini,Historical Fiction,1,B47,LIB0000004897,Leisure
B04898,Educated — Library04898,Tara Westover,Memoir,1,B48,LIB0000004898,Leisure
B04899,The Da Vinci Code — Library04899,Dan Brown,Mystery,5,B49,LIB0000004899,Leisure
B04900,Harry Potter and the Philosopher's Stone — Library04900,J.K. Rowling,Fantasy,2,B50,LIB0000004900,Leisure
B04901,The Fault in Our Stars — Library04901,John Green,Romance,5,B1,LIB0000004901,Leisure
B04902,Angels & Demons — Library04902,Dan Brown,Thriller,1,B2,LIB0000004902,Leisure
B04903,A Thousand Splendid Suns — Library04903,Khaled Hosseini,Historical Fiction,2,B3,LIB0000004903,Leisure
B04904,The Fault in Our Stars — Library04904,John Green,Romance,3,B4,LIB0000004904,Leisure
B04905,Atomic Habits — Library04905,James Clear,Self-Help,5,B5,LIB0000004905,Leisure
B04906,Harry Potter and the Philosopher's Stone — Library04906,J.K. Rowling,Fantasy,2,B6,LIB0000004906,Leisure
B04907,The Hunger Games — Library04907,Suzanne Collins,Dystopian,0,B7,LIB0000004907,Leisure
B04908,Harry Potter and the Philosopher's Stone — Library04908,J.K. Rowling,Fantasy,1,B8,LIB0000004908,Leisure
B04909,Sapiens — Library04909,Yuval Noah Harari,History,4,B9,LIB0000004909,Leisure
B04910,The Silent Patient — Library04910,Alex Michaelides,Thriller,2,B10,LIB0000004910,Leisure
B04911,The Fault in Our Stars — Library04911,John Green,Romance,4,B11,LIB0000004911,Leisure
B04912,To Kill a Mockingbird — Library04912,Harper Lee,Fiction,5,B12,LIB0000004912,Leisure
B04913,The Silent Patient — Library04913,Alex Michaelides,Thriller,2,B13,LIB0000004913,Leisure
B04914,A Thousand Splendid Suns — Library04914,Khaled Hosseini,Historical Fiction,4,B14,LIB0000004914,Leisure
B04915,It Ends with Us — Library04915,Colleen Hoover,Romance,5,B15,LIB0000004915,Leisure
B04916,The Da Vinci Code — Library04916,Dan Brown,Mystery,4,B16,LIB0000004916,Leisure
B04917,The Kite Runner — Library04917,Khaled Hosseini,Historical Fiction,3,B17,LIB0000004917,Leisure
B04918,Animal Farm — Library04918,George Orwell,Satire,4,B18,LIB0000004918,Leisure
B04919,The Alchemist — Library04919,Paulo Coelho,Fiction,2,B19,LIB0000004919,Leisure
B04920,The Book Thief — Library04920,Markus Zusak,Historical Fiction,2,B20,LIB0000004920,Leisure
B04921,Pride and Prejudice — Library04921,Jane Austen,Romance,3,B21,LIB0000004921,Leisure
B04922,The Great Gatsby — Library04922,F. Scott Fitzgerald,Classic,2,B22,LIB0000004922,Leisure
B04923,The Psychology of Money — Library04923,Morgan Housel,Finance,0,B23,LIB0000004923,Academic
B04924,The Alchemist — Library04924,Paulo Coelho,Fiction,2,B24,LIB0000004924,Leisure
B04925,Animal Farm — Library04925,George Orwell,Satire,3,B25,LIB0000004925,Leisure
B04926,The Book Thief — Library04926,Markus Zusak,Historical Fiction,4,B26,LIB0000004926,Leisure
B04927,Ikigai — Library04927,Héctor García,Self-Help,1,B27,LIB0000004927,Leisure
B04928,The Midnight Library — Library04928,Matt Haig,Fiction,4,B28,LIB0000004928,Leisure
B04929,Animal Farm — Library04929,George Orwell,Satire,1,B29,LIB0000004929,Leisure
B04930,The Book Thief — Library04930,Markus Zusak,Historical Fiction,5,B30,LIB0000004930,Leisure
B04931,The Midnight Library — Library04931,Matt Haig,Fiction,5,B31,LIB0000004931,Leisure
B04932,Rich Dad Poor Dad — Library04932,Robert Kiyosaki,Finance,1,B32,LIB0000004932,Academic
B04933,The Book Thief — Library04933,Markus Zusak,Historical Fiction,1,B33,LIB0000004933,Leisure
B04934,"The Lion, the Witch and the Wardrobe — Library04934",C.S. Lewis,Fantasy,0,B34,LIB0000004934,Leisure
B04935,To Kill a Mockingbird — Library04935,Harper Lee,Fiction,4,B35,LIB0000004935,Leisure
B04936,The Alchemist — Library04936,Paulo Coelho,Fiction,3,B36,LIB0000004936,Leisure
B04937,1984 — Library04937,George Orwell,Dystopian,2,B37,LIB0000004937,Leisure
B04938,The Book Thief — Library04938,Markus Zusak,Historical Fiction,1,B38,LIB0000004938,Leisure
B04939,Angels & Demons — Library04939,Dan Brown,Thriller,5,B39,LIB0000004939,Leisure
B04940,The Hobbit — Library04940,J.R.R. Tolkien,Fantasy,5,B40,LIB0000004940,Leisure
B04941,To Kill a Mockingbird — Library04941,Harper Lee,Fiction,2,B41,LIB0000004941,Leisure
B04942,The Alchemist — Library04942,Paulo Coelho,Fiction,2,B42,LIB0000004942,Leisure
B04943,The Kite Runner — Library04943,Khaled Hosseini,Historical Fiction,4,B43,LIB0000004943,Leisure
B04944,The Book Thief — Library04944,Markus Zusak,Historical Fiction,4,B44,LIB0000004944,Leisure
B04945,Animal Farm — Library04945,George Orwell,Satire,0,B45,LIB0000004945,Leisure
B04946,Ikigai — Library04946,Héctor García,Self-Help,0,B46,LIB0000004946,Leisure
B04947,The Catcher in the Rye — Library04947,J.D. Salinger,Coming-of-Age,3,B47,LIB0000004947,Leisure
B04948,The Psychology of Money — Library04948,Morgan Housel,Finance,1,B48,LIB0000004948,Academic
B04949,The Kite Runner — Library04949,Khaled Hosseini,Historical Fiction,2,B49,LIB0000004949,Leisure
B04950,The Alchemist — Library04950,Paulo Coelho,Fiction,0,B50,LIB0000004950,Leisure
B04951,Atomic Habits — Library04951,James Clear,Self-Help,4,B1,LIB0000004951,Leisure
B04952,The Da Vinci Code — Library04952,Dan Brown,Mystery,2,B2,LIB0000004952,Leisure
B04953,The Silent Patient — Library04953,Alex Michaelides,Thriller,5,B3,LIB0000004953,Leisure
B04954,Animal Farm — Library04954,George Orwell,Satire,3,B4,LIB0000004954,Leisure
B04955,The Diary of a Young Girl — Library04955,Anne Frank,Biography,2,B5,LIB0000004955,Leisure
B04956,The Psychology of Money — Library04956,Morgan Housel,Finance,4,B6,LIB0000004956,Academic
B04957,It Ends with Us — Library04957,Colleen Hoover,Romance,1,B7,LIB0000004957,Leisure
B04958,Rich Dad Poor Dad — Library04958,Robert Kiyosaki,Finance,4,B8,LIB0000004958,Academic
B04959,Atomic Habits — Library04959,James Clear,Self-Help,3,B9,LIB0000004959,Leisure
B04960,To Kill a Mockingbird — Library04960,Harper Lee,Fiction,5,B10,LIB0000004960,Leisure
B04961,"The Lion, the Witch and the Wardrobe — Library04961",C.S. Lewis,Fantasy,5,B11,LIB0000004961,Leisure
B04962,A Thousand Splendid Suns — Library04962,Khaled Hosseini,Historical Fiction,0,B12,LIB0000004962,Leisure
B04963,The Alchemist — Library04963,Paulo Coelho,Fiction,5,B13,LIB0000004963,Leisure
B04964,Angels & Demons — Library04964,Dan Brown,Thriller,0,B14,LIB0000004964,Leisure
B04965,Animal Farm — Library04965,George Orwell,Satire,0,B15,LIB0000004965,Leisure
B04966,The Catcher in the Rye — Library04966,J.D. Salinger,Coming-of-Age,4,B16,LIB0000004966,Leisure
B04967,Sapiens — Library04967,Yuval Noah Harari,History,1,B17,LIB0000004967,Leisure
B04968,The Kite Runner — Library04968,Khaled Hosseini,Historical Fiction,2,B18,LIB0000004968,Leisure
B04969,Percy Jackson: The Lightning Thief — Library04969,Rick Riordan,Fantasy,2,B19,LIB0000004969,Leisure
B04970,The Hobbit — Library04970,J.R.R. Tolkien,Fantasy,4,B20,LIB0000004970,Leisure
B04971,The Silent Patient — Library04971,Alex Michaelides,Thriller,1,B21,LIB0000004971,Leisure
B04972,Sherlock Holmes — Library04972,Arthur Conan Doyle,Mystery,4,B22,LIB0000004972,Leisure
B04973,Pride and Prejudice — Library04973,Jane Austen,Romance,2,B23,LIB0000004973,Leisure
B04974,The Hunger Games — Library04974,Suzanne Collins,Dystopian,0,B24,LIB0000004974,Leisure
B04975,Percy Jackson: The Lightning Thief — Library04975,Rick Riordan,Fantasy,4,B25,LIB0000004975,Leisure
B04976,Educated — Library04976,Tara Westover,Memoir,3,B26,LIB0000004976,Leisure
B04977,It Ends with Us — Library04977,Colleen Hoover,Romance,5,B27,LIB0000004977,Leisure
B04978,Percy Jackson: The Lightning Thief — Library04978,Rick Riordan,Fantasy,4,B28,LIB0000004978,Leisure
B04979,The Catcher in the Rye — Library04979,J.D. Salinger,Coming-of-Age,1,B29,LIB0000004979,Leisure
B04980,A Thousand Splendid Suns — Library04980,Khaled Hosseini,Historical Fiction,2,B30,LIB0000004980,Leisure
B04981,Murder on the Orient Express — Library04981,Agatha Christie,Mystery,4,B31,LIB0000004981,Leisure
B04982,The Da Vinci Code — Library04982,Dan Brown,Mystery,0,B32,LIB0000004982,Leisure
B04983,Ikigai — Library04983,Héctor García,Self-Help,5,B33,LIB0000004983,Leisure
B04984,The Great Gatsby — Library04984,F. Scott Fitzgerald,Classic,3,B34,LIB0000004984,Leisure
B04985,The Alchemist — Library04985,Paulo Coelho,Fiction,5,B35,LIB0000004985,Leisure
B04986,Educated — Library04986,Tara Westover,Memoir,3,B36,LIB0000004986,Leisure
B04987,The Great Gatsby — Library04987,F. Scott Fitzgerald,Classic,3,B37,LIB0000004987,Leisure
B04988,The Great Gatsby — Library04988,F. Scott Fitzgerald,Classic,0,B38,LIB0000004988,Leisure
B04989,Animal Farm — Library04989,George Orwell,Satire,2,B39,LIB0000004989,Leisure
B04990,The Great Gatsby — Library04990,F. Scott Fitzgerald,Classic,2,B40,LIB0000004990,Leisure
B04991,The Kite Runner — Library04991,Khaled Hosseini,Historical Fiction,4,B41,LIB0000004991,Leisure
B04992,Percy Jackson: The Lightning Thief — Library04992,Rick Riordan,Fantasy,1,B42,LIB0000004992,Leisure
B04993,Atomic Habits — Library04993,James Clear,Self-Help,3,B43,LIB0000004993,Leisure
B04994,Atomic Habits — Library04994,James Clear,Self-Help,3,B44,LIB0000004994,Leisure
B04995,Rich Dad Poor Dad — Library04995,Robert Kiyosaki,Finance,3,B45,LIB0000004995,Academic
B04996,Animal Farm — Library04996,George Orwell,Satire,1,B46,LIB0000004996,Leisure
B04997,Rich Dad Poor Dad — Library04997,Robert Kiyosaki,Finance,5,B47,LIB0000004997,Academic
B04998,The Diary of a Young Girl — Library04998,Anne Frank,Biography,3,B48,LIB0000004998,Leisure
B04999,Atomic Habits — Library04999,James Clear,Self-Help,3,B49,LIB0000004999,Leisure
B05000,The Alchemist — Library05000,Paulo Coelho,Fiction,4,B50,LIB0000005000,Leisure
B05001,Murder on the Orient Express — Library05001,Agatha Christie,Mystery,0,C1,LIB0000005001,Leisure
B05002,The Alchemist — Library05002,Paulo Coelho,Fiction,1,C2,LIB0000005002,Leisure
B05003,Animal Farm — Library05003,George Orwell,Satire,3,C3,LIB0000005003,Leisure
B05004,Educated — Library05004,Tara Westover,Memoir,4,C4,LIB0000005004,Leisure
B05005,To Kill a Mockingbird — Library05005,Harper Lee,Fiction,0,C5,LIB0000005005,Leisure
B05006,Ikigai — Library05006,Héctor García,Self-Help,4,C6,LIB0000005006,Leisure
B05007,The Psychology of Money — Library05007,Morgan Housel,Finance,3,C7,LIB0000005007,Academic
B05008,Percy Jackson: The Lightning Thief — Library05008,Rick Riordan,Fantasy,0,C8,LIB0000005008,Leisure
B05009,The Fault in Our Stars — Library05009,John Green,Romance,5,C9,LIB0000005009,Leisure
B05010,Ikigai — Library05010,Héctor García,Self-Help,2,C10,LIB0000005010,Leisure
B05011,The Fault in Our Stars — Library05011,John Green,Romance,1,C11,LIB0000005011,Leisure
B05012,Angels & Demons — Library05012,Dan Brown,Thriller,3,C12,LIB0000005012,Leisure
B05013,The Midnight Library — Library05013,Matt Haig,Fiction,4,C13,LIB0000005013,Leisure
B05014,The Psychology of Money — Library05014,Morgan Housel,Finance,1,C14,LIB0000005014,Academic
B05015,The Hunger Games — Library05015,Suzanne Collins,Dystopian,1,C15,LIB0000005015,Leisure
B05016,Sapiens — Library05016,Yuval Noah Harari,History,3,C16,LIB0000005016,Leisure
B05017,Animal Farm — Library05017,George Orwell,Satire,4,C17,LIB0000005017,Leisure
B05018,A Thousand Splendid Suns — Library05018,Khaled Hosseini,Historical Fiction,0,C18,LIB0000005018,Leisure
B05019,Sapiens — Library05019,Yuval Noah Harari,History,2,C19,LIB0000005019,Leisure
B05020,Sapiens — Library05020,Yuval Noah Harari,History,4,C20,LIB0000005020,Leisure
B05021,Animal Farm — Library05021,George Orwell,Satire,3,C21,LIB0000005021,Leisure
B05022,Angels & Demons — Library05022,Dan Brown,Thriller,5,C22,LIB0000005022,Leisure
B05023,The Kite Runner — Library05023,Khaled Hosseini,Historical Fiction,1,C23,LIB0000005023,Leisure
B05024,Harry Potter and the Philosopher's Stone — Library05024,J.K. Rowling,Fantasy,0,C24,LIB0000005024,Leisure
B05025,The Alchemist — Library05025,Paulo Coelho,Fiction,2,C25,LIB0000005025,Leisure
B05026,Animal Farm — Library05026,George Orwell,Satire,5,C26,LIB0000005026,Leisure
B05027,Sapiens — Library05027,Yuval Noah Harari,History,5,C27,LIB0000005027,Leisure
B05028,A Thousand Splendid Suns — Library05028,Khaled Hosseini,Historical Fiction,0,C28,LIB0000005028,Leisure
B05029,The Silent Patient — Library05029,Alex Michaelides,Thriller,5,C29,LIB0000005029,Leisure
B05030,The Diary of a Young Girl — Library05030,Anne Frank,Biography,2,C30,LIB0000005030,Leisure
B05031,The Fault in Our Stars — Library05031,John Green,Romance,1,C31,LIB0000005031,Leisure
B05032,A Thousand Splendid Suns — Library05032,Khaled Hosseini,Historical Fiction,5,C32,LIB0000005032,Leisure
B05033,The Silent Patient — Library05033,Alex Michaelides,Thriller,1,C33,LIB0000005033,Leisure
B05034,Harry Potter and the Philosopher's Stone — Library05034,J.K. Rowling,Fantasy,0,C34,LIB0000005034,Leisure
B05035,The Psychology of Money — Library05035,Morgan Housel,Finance,2,C35,LIB0000005035,Academic
B05036,A Thousand Splendid Suns — Library05036,Khaled Hosseini,Historical Fiction,0,C36,LIB0000005036,Leisure
B05037,Murder on the Orient Express — Library05037,Agatha Christie,Mystery,5,C37,LIB0000005037,Leisure
B05038,The Great Gatsby — Library05038,F. Scott Fitzgerald,Classic,4,C38,LIB0000005038,Leisure
B05039,A Thousand Splendid Suns — Library05039,Khaled Hosseini,Historical Fiction,4,C39,LIB0000005039,Leisure
B05040,The Fault in Our Stars — Library05040,John Green,Romance,2,C40,LIB0000005040,Leisure
B05041,The Silent Patient — Library05041,Alex Michaelides,Thriller,5,C41,LIB0000005041,Leisure
B05042,A Thousand Splendid Suns — Library05042,Khaled Hosseini,Historical Fiction,5,C42,LIB0000005042,Leisure
B05043,Sapiens — Library05043,Yuval Noah Harari,History,0,C43,LIB0000005043,Leisure
B05044,The Great Gatsby — Library05044,F. Scott Fitzgerald,Classic,4,C44,LIB0000005044,Leisure
B05045,Atomic Habits — Library05045,James Clear,Self-Help,4,C45,LIB0000005045,Leisure
B05046,Harry Potter and the Philosopher's Stone — Library05046,J.K. Rowling,Fantasy,2,C46,LIB0000005046,Leisure
B05047,The Book Thief — Library05047,Markus Zusak,Historical Fiction,4,C47,LIB0000005047,Leisure
B05048,The Hobbit — Library05048,J.R.R. Tolkien,Fantasy,1,C48,LIB0000005048,Leisure
B05049,To Kill a Mockingbird — Library05049,Harper Lee,Fiction,3,C49,LIB0000005049,Leisure
B05050,The Diary of a Young Girl — Library05050,Anne Frank,Biography,5,C50,LIB0000005050,Leisure
B05051,The Alchemist — Library05051,Paulo Coelho,Fiction,2,C1,LIB0000005051,Leisure
B05052,The Book Thief — Library05052,Markus Zusak,Historical Fiction,0,C2,LIB0000005052,Leisure
B05053,1984 — Library05053,George Orwell,Dystopian,2,C3,LIB0000005053,Leisure
B05054,The Fault in Our Stars — Library05054,John Green,Romance,5,C4,LIB0000005054,Leisure
B05055,Ikigai — Library05055,Héctor García,Self-Help,2,C5,LIB0000005055,Leisure
B05056,The Hobbit — Library05056,J.R.R. Tolkien,Fantasy,2,C6,LIB0000005056,Leisure
B05057,Animal Farm — Library05057,George Orwell,Satire,4,C7,LIB0000005057,Leisure
B05058,The Silent Patient — Library05058,Alex Michaelides,Thriller,0,C8,LIB0000005058,Leisure
B05059,The Da Vinci Code — Library05059,Dan Brown,Mystery,1,C9,LIB0000005059,Leisure
B05060,The Psychology of Money — Library05060,Morgan Housel,Finance,5,C10,LIB0000005060,Academic
B05061,The Book Thief — Library05061,Markus Zusak,Historical Fiction,0,C11,LIB0000005061,Leisure
B05062,Murder on the Orient Express — Library05062,Agatha Christie,Mystery,1,C12,LIB0000005062,Leisure
B05063,Angels & Demons — Library05063,Dan Brown,Thriller,2,C13,LIB0000005063,Leisure
B05064,Educated — Library05064,Tara Westover,Memoir,2,C14,LIB0000005064,Leisure
B05065,Sapiens — Library05065,Yuval Noah Harari,History,5,C15,LIB0000005065,Leisure
B05066,Rich Dad Poor Dad — Library05066,Robert Kiyosaki,Finance,2,C16,LIB0000005066,Academic
B05067,1984 — Library05067,George Orwell,Dystopian,5,C17,LIB0000005067,Leisure
B05068,The Midnight Library — Library05068,Matt Haig,Fiction,5,C18,LIB0000005068,Leisure
B05069,The Great Gatsby — Library05069,F. Scott Fitzgerald,Classic,0,C19,LIB0000005069,Leisure
B05070,Angels & Demons — Library05070,Dan Brown,Thriller,4,C20,LIB0000005070,Leisure
B05071,The Great Gatsby — Library05071,F. Scott Fitzgerald,Classic,1,C21,LIB0000005071,Leisure
B05072,Harry Potter and the Philosopher's Stone — Library05072,J.K. Rowling,Fantasy,1,C22,LIB0000005072,Leisure
B05073,The Da Vinci Code — Library05073,Dan Brown,Mystery,2,C23,LIB0000005073,Leisure
B05074,The Great Gatsby — Library05074,F. Scott Fitzgerald,Classic,3,C24,LIB0000005074,Leisure
B05075,The Fault in Our Stars — Library05075,John Green,Romance,2,C25,LIB0000005075,Leisure
B05076,Ikigai — Library05076,Héctor García,Self-Help,1,C26,LIB0000005076,Leisure
B05077,"The Lion, the Witch and the Wardrobe — Library05077",C.S. Lewis,Fantasy,1,C27,LIB0000005077,Leisure
B05078,The Alchemist — Library05078,Paulo Coelho,Fiction,4,C28,LIB0000005078,Leisure
B05079,Pride and Prejudice — Library05079,Jane Austen,Romance,1,C29,LIB0000005079,Leisure
B05080,Rich Dad Poor Dad — Library05080,Robert Kiyosaki,Finance,4,C30,LIB0000005080,Academic
B05081,Murder on the Orient Express — Library05081,Agatha Christie,Mystery,5,C31,LIB0000005081,Leisure
B05082,Sapiens — Library05082,Yuval Noah Harari,History,4,C32,LIB0000005082,Leisure
B05083,Educated — Library05083,Tara Westover,Memoir,4,C33,LIB0000005083,Leisure
B05084,The Midnight Library — Library05084,Matt Haig,Fiction,4,C34,LIB0000005084,Leisure
B05085,The Midnight Library — Library05085,Matt Haig,Fiction,0,C35,LIB0000005085,Leisure
B05086,The Fault in Our Stars — Library05086,John Green,Romance,3,C36,LIB0000005086,Leisure
B05087,Ikigai — Library05087,Héctor García,Self-Help,0,C37,LIB0000005087,Leisure
B05088,"The Lion, the Witch and the Wardrobe — Library05088",C.S. Lewis,Fantasy,1,C38,LIB0000005088,Leisure
B05089,Ikigai — Library05089,Héctor García,Self-Help,0,C39,LIB0000005089,Leisure
B05090,A Thousand Splendid Suns — Library05090,Khaled Hosseini,Historical Fiction,2,C40,LIB0000005090,Leisure
B05091,Animal Farm — Library05091,George Orwell,Satire,5,C41,LIB0000005091,Leisure
B05092,The Great Gatsby — Library05092,F. Scott Fitzgerald,Classic,1,C42,LIB0000005092,Leisure
B05093,Sapiens — Library05093,Yuval Noah Harari,History,3,C43,LIB0000005093,Leisure
B05094,The Diary of a Young Girl — Library05094,Anne Frank,Biography,4,C44,LIB0000005094,Leisure
B05095,The Da Vinci Code — Library05095,Dan Brown,Mystery,2,C45,LIB0000005095,Leisure
